"trailName","dist.","elevation","routeType","ratingCount","keywords","difficulty","avgRating"
"Schabarum, Purple Sage, and Powder Canyon Loop Trail",4.1,803,"Loop",304,"EASY|EASY|EASY|EASY|Loop|Loop|Loop|dogsonleash|kidfriendly|birding|hiking|horsebackriding|mountainbiking|naturetrips|trailrunning|walking|forest|views|wildflowers|wildlife|rocky","EASY|EASY|EASY|EASY",4
"Weir Canyon Trail",3.5,738,"Loop",245,"EASY|EASY|EASY|EASY|Loop|Loop|Loop|dogsonleash|kidfriendly|birding|hiking|horsebackriding|mountainbiking|roadbiking|trailrunning|walking|views|wildflowers|wildlife","EASY|EASY|EASY|EASY",4.5
"Seven Springs Trail Loop",2.6,561,"Loop",302,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|dogsonleash|kidfriendly|birding|camping|hiking|horsebackriding|mountainbiking|naturetrips|trailrunning|walking|views|wildflowers|wildlife|bugs","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Bronson Caves",0.6,75,"Out & Back",202,"EASY|EASY|EASY|EASY|Out&Back|Out&Back|Out&Back|dogfriendly|kidfriendly|birding|hiking|naturetrips|trailrunning|walking|cave|views","EASY|EASY|EASY|EASY",4
"Mishe Mokwa to Tri-Peaks and Sandstone Peak",6.8,1692,"Loop",188,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|dogsonleash|birding|camping|hiking|naturetrips|rockclimbing|trailrunning|walking|views|wildflowers|wildlife|bugs|noshade","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"High Peaks Condor Gulch Trail",4.6,1479,"Loop",190,"HARD|HARD|HARD|HARD|Loop|Loop|Loop|backpacking|birding|hiking|naturetrips|rockclimbing|trailrunning|walking|cave|forest|lake|views|wildflowers|wildlife|rocky|nodogs","HARD|HARD|HARD|HARD",4.5
"Sierra Buttes Lookout Trail",4.9,1555,"Out & Back",153,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|dogfriendly|hiking|trailrunning|forest|views|wildflowers|wildlife|snow","MODERATE|MODERATE|MODERATE|MODERATE",5
"Vikingsholm Trail",1.7,377,"Out & Back",218,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|wheelchairfriendly|kidfriendly|hiking|rockclimbing|walking|beach|forest|lake|views|waterfall|nodogs","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Dunn, Graham and West Ridge Trail Loop",3.8,593,"Loop",265,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|dogfriendly|kidfriendly|birding|hiking|mountainbiking|naturetrips|trailrunning|walking|forest|views|wildflowers|wildlife|rocky","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Mount Diablo Grand Loop Trail",6.7,1856,"Loop",208,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|birding|hiking|naturetrips|trailrunning|walking|forest|views|wildflowers|wildlife|nodogs","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Santiago Peak via Holy Jim Trail and Main Divide Road",15.9,4163,"Out & Back",188,"HARD|HARD|HARD|HARD|Out&Back|Out&Back|Out&Back|dogsonleash|hiking|mountainbiking|forest|views|waterfall|wildflowers|wildlife|rocky","HARD|HARD|HARD|HARD",4.5
"Cave of Muntiz via El Escorpion Trail",1.7,308,"Loop",289,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|dogsonleash|birding|hiking|naturetrips|rockclimbing|trailrunning|walking|cave|views|wildflowers|wildlife|muddy|rocky|scramble","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Old Landing Cove Trail",2.3,85,"Loop",213,"EASY|EASY|EASY|EASY|Loop|Loop|Loop|kidfriendly|hiking|mountainbiking|naturetrips|trailrunning|walking|beach|views|wildflowers|nodogs","EASY|EASY|EASY|EASY",4.5
"Santa Ynez Canyon Waterfall Trail",2.2,275,"Out & Back",192,"EASY|EASY|EASY|EASY|Out&Back|Out&Back|Out&Back|kidfriendly|birding|hiking|naturetrips|trailrunning|walking|cave|forest|river|views|waterfall|wildflowers|wildlife|bugs|overgrown|scramble|nodogs","EASY|EASY|EASY|EASY",3.5
"Bonelli Park Trail",6.3,524,"Loop",283,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|dogsonleash|fishing|hiking|horsebackriding|mountainbiking|trailrunning|walking|lake|views|wildlife","MODERATE|MODERATE|MODERATE|MODERATE",4
"Dripping Cave Hollow Oak Trail",7.4,974,"Loop",264,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|kidfriendly|birding|hiking|mountainbiking|naturetrips|trailrunning|walking|cave|forest|views|wildflowers|wildlife|nodogs","MODERATE|MODERATE|MODERATE|MODERATE",4
"Soberanes Canyon Trail",5.4,1788,"Loop",221,"HARD|HARD|HARD|HARD|Loop|Loop|Loop|birding|hiking|naturetrips|trailrunning|walking|beach|forest|river|views|waterfall|wildflowers|wildlife|overgrown|rocky|nodogs","HARD|HARD|HARD|HARD",4.5
"Annies Canyon and Rios Avenue Trail",3.1,226,"Loop",353,"EASY|EASY|EASY|EASY|Loop|Loop|Loop|dogsonleash|kidfriendly|birding|hiking|horsebackriding|naturetrips|trailrunning|walking|beach|river|views|wildflowers|wildlife|muddy","EASY|EASY|EASY|EASY",4.5
"Kirby Cove",3,610,"Out & Back",123,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|kidfriendly|birding|camping|hiking|mountainbiking|naturetrips|trailrunning|walking|beach|forest|views|wildflowers|wildlife|nodogs","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Rodeo Valley Trail To Miwok Trail Loop Via Coastal Trail",11.3,1909,"Loop",137,"HARD|HARD|HARD|HARD|Loop|Loop|Loop|birding|hiking|mountainbiking|naturetrips|trailrunning|walking|beach|forest|views|wildflowers|wildlife|nodogs","HARD|HARD|HARD|HARD",4.5
"San Antonio Falls Trail",1.2,272,"Out & Back",161,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|dogsonleash|kidfriendly|birding|hiking|naturetrips|rockclimbing|walking|forest|views|waterfall|wildflowers|wildlife|washedout","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Tuolumne Table Mountain",3.8,610,"Loop",213,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|dogfriendly|kidfriendly|birding|hiking|mountainbiking|naturetrips|rockclimbing|trailrunning|walking|cave|views|wildflowers|wildlife|overgrown|rocky|scramble","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"The Slot",2.3,301,"Loop",206,"EASY|EASY|EASY|EASY|Loop|Loop|Loop|kidfriendly|birding|camping|hiking|naturetrips|offroaddriving|scenicdriving|walking|views|wildflowers|wildlife|nodogs","EASY|EASY|EASY|EASY",4.5
"Twin Lakes Trail",8.2,1584,"Out & Back",171,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|dogsonleash|kidfriendly|backpacking|birding|camping|hiking|naturetrips|trailrunning|walking|forest|lake|views|wildflowers|wildlife","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"El Dorado Park Nature Trail",2.6,62,"Loop",227,"EASY|EASY|EASY|EASY|Loop|Loop|Loop|kidfriendly|birding|hiking|naturetrips|walking|forest|lake|river|views|wildflowers|wildlife|nodogs","EASY|EASY|EASY|EASY",4.5
"Big Falls Trail",0.7,252,"Out & Back",163,"EASY|EASY|EASY|EASY|Out&Back|Out&Back|Out&Back|dogsonleash|kidfriendly|birding|hiking|naturetrips|walking|river|views|waterfall|wildflowers|bugs","EASY|EASY|EASY|EASY",4.5
"Dipsea Trail to Steep Ravine Trail Loop from Stinson",6.1,1656,"Loop",161,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|hiking|naturetrips|trailrunning|walking|forest|river|views|waterfall|nodogs","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Gray Whale Cove Trail",2.2,269,"Out & Back",186,"EASY|EASY|EASY|EASY|Out&Back|Out&Back|Out&Back|dogfriendly|kidfriendly|birding|hiking|naturetrips|surfing|trailrunning|walking|beach|views|wildflowers","EASY|EASY|EASY|EASY",4
"Climbers Loop Trail",1.8,547,"Loop",202,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|dogsonleash|birding|hiking|naturetrips|rockclimbing|trailrunning|walking|forest|views|wildlife|rocky|scramble","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Wildcat Creek Trail, Havey Creek Trail, San Pablo Ridge Trail, and Belgum Trail",7.2,1269,"Loop",61,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|dogfriendly|birding|hiking|naturetrips|trailrunning|walking|views|wildflowers|wildlife|muddy","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Sweeney Ridge Trail via Sneath Lane",7.7,1669,"Out & Back",270,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|dogsonleash|birding|hiking|mountainbiking|naturetrips|trailrunning|walking|views|wildflowers|wildlife","MODERATE|MODERATE|MODERATE|MODERATE",4
"Corral Canyon Loop Trail",2.3,524,"Loop",243,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|dogsonleash|kidfriendly|birding|hiking|naturetrips|trailrunning|walking|beach|river|views|wildflowers|wildlife|bugs|overgrown","MODERATE|MODERATE|MODERATE|MODERATE",4
"Cooper Canyon Falls Trail",6.2,1358,"Loop",147,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|dogsonleash|birding|camping|hiking|naturetrips|walking|forest|views|waterfall|wildflowers|rocky","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Ringtail Cat, Madrone, Las Trampas Ridge and Corduroy Hills Loop",7.5,1909,"Loop",41,"HARD|HARD|HARD|HARD|Loop|Loop|Loop|dogsonleash|kidfriendly|birding|hiking|horsebackriding|mountainbiking|trailrunning|views|wildlife","HARD|HARD|HARD|HARD",4.5
"Pumpkin Rock Trail",1.7,380,"Loop",352,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|dogfriendly|kidfriendly|birding|hiking|horsebackriding|naturetrips|trailrunning|walking|views|wildflowers|wildlife","MODERATE|MODERATE|MODERATE|MODERATE",4
"Bernardo Mountain Summit Trail",7.1,872,"Out & Back",268,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|dogsonleash|kidfriendly|birding|hiking|horsebackriding|mountainbiking|trailrunning|walking|lake|views|rocky","MODERATE|MODERATE|MODERATE|MODERATE",4
"Borrego Palm Canyon ",2.9,462,"Loop",224,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|kidfriendly|hiking|naturetrips|trailrunning|walking|waterfall|wildflowers|wildlife|rocky|scramble|nodogs","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Mission Point via Bee Canyon Trail",5.6,1443,"Out & Back",277,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|dogsonleash|kidfriendly|birding|hiking|naturetrips|trailrunning|walking|views|wildflowers|wildlife","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Old Zoo Trail",7,561,"Loop",240,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|dogfriendly|kidfriendly|hiking|horsebackriding|trailrunning|walking|cave|wildlife","MODERATE|MODERATE|MODERATE|MODERATE",4
"Duck Pass and Pika Lake Trail ",9.5,2132,"Out & Back",135,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|dogfriendly|backpacking|birding|camping|hiking|horsebackriding|naturetrips|trailrunning|walking|forest|lake|river|views|wildflowers|wildlife|bugs|rocky","MODERATE|MODERATE|MODERATE|MODERATE",5
"Burney Falls Loop Trail",1,157,"Loop",169,"EASY|EASY|EASY|EASY|Loop|Loop|Loop|kidfriendly|birding|camping|fishing|hiking|horsebackriding|naturetrips|walking|forest|river|views|waterfall|wildflowers|wildlife|washedout|nodogs","EASY|EASY|EASY|EASY",4.5
"Lost Coast Trail: Mattole to Black Sands Beach",25.3,1578,"Point to Point",143,"MODERATE|MODERATE|MODERATE|MODERATE|PointtoPoint|PointtoPoint|PointtoPoint|dogfriendly|backpacking|birding|camping|hiking|naturetrips|trailrunning|walking|beach|forest|river|views|wildflowers|wildlife|rocky","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Arch Rock Nature Trail",0.5,22,"Out & Back",127,"EASY|EASY|EASY|EASY|Out&Back|Out&Back|Out&Back|kidfriendly|birding|camping|hiking|naturetrips|trailrunning|walking|views|wildflowers|wildlife|bugs|nodogs","EASY|EASY|EASY|EASY",4.5
"Klondike and Portuguese Canyon Trails",5.1,1017,"Loop",178,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|dogsonleash|birding|hiking|horsebackriding|naturetrips|trailrunning|walking|views|wildflowers|wildlife|muddy","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Lake Poway Loop Trail",2.5,452,"Loop",215,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|dogsonleash|birding|hiking|horsebackriding|mountainbiking|naturetrips|trailrunning|walking|lake|views|wildflowers","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Rancheria Falls Trail",4.1,649,"Out & Back",197,"EASY|EASY|EASY|EASY|Out&Back|Out&Back|Out&Back|dogfriendly|kidfriendly|birding|hiking|naturetrips|walking|river|views|waterfall|wildflowers|wildlife|rocky","EASY|EASY|EASY|EASY",4.5
"Crystal Springs & Dean Trails",4.5,935,"Loop",234,"EASY|EASY|EASY|EASY|Loop|Loop|Loop|kidfriendly|hiking|trailrunning|walking|forest|views|nodogs","EASY|EASY|EASY|EASY",4.5
"Chilnualna Falls Trail",6.9,2217,"Out & Back",191,"HARD|HARD|HARD|HARD|Out&Back|Out&Back|Out&Back|backpacking|birding|hiking|horsebackriding|naturetrips|walking|forest|river|views|waterfall|wildlife|nodogs","HARD|HARD|HARD|HARD",4.5
"Inspiration Point via Sam Merril Trail to Castle Canyon Trail",8.2,2732,"Out & Back",193,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|dogfriendly|birding|hiking|mountainbiking|naturetrips|trailrunning|walking|forest|views|wildlife|bugs|rocky","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Rancho Palos Verdes Coastal Trail",5.1,1020,"Out & Back",274,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|dogsonleash|kidfriendly|birding|hiking|naturetrips|trailrunning|walking|beach|views|wildflowers|wildlife","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Mori Point Loop Trail",2.5,396,"Loop",255,"EASY|EASY|EASY|EASY|Loop|Loop|Loop|dogsonleash|kidfriendly|birding|hiking|naturetrips|trailrunning|walking|beach|views|wildflowers|wildlife","EASY|EASY|EASY|EASY",4.5
"Robie Point Firebreak Trail",5.5,498,"Out & Back",180,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|dogsonleash|kidfriendly|birding|hiking|horsebackriding|naturetrips|trailrunning|walking|river|views|waterfall|wildflowers|wildlife","MODERATE|MODERATE|MODERATE|MODERATE",4
"Oak Canyon to Grasslands Trail",3.7,344,"Loop",216,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|dogsonleash|kidfriendly|birding|hiking|naturetrips|trailrunning|walking|river|views|wildflowers|wildlife","MODERATE|MODERATE|MODERATE|MODERATE",4
"Diablo View, Spengler, Old Briones Road, Lagoon, Toyon Canyon, Pine Tree and Orchard Loop",5.4,1164,"Loop",54,"HARD|HARD|HARD|HARD|Loop|Loop|Loop|dogsonleash|birding|hiking|horsebackriding|mountainbiking|trailrunning|views|wildlife","HARD|HARD|HARD|HARD",4.5
"Ralston Peak Trail",6.5,2775,"Loop",180,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|dogfriendly|birding|hiking|horsebackriding|naturetrips|rockclimbing|snowshoeing|trailrunning|walking|forest|views|wildflowers|wildlife|snow|washedout","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Mount Thom and Tongva Peak Loop",6.7,2306,"Loop",260,"HARD|HARD|HARD|HARD|Loop|Loop|Loop|dogsonleash|birding|hiking|naturetrips|trailrunning|walking|forest|views|wildflowers|wildlife|rocky","HARD|HARD|HARD|HARD",4.5
"Coastal Trail, Miwok Trail, and Bonita Lighthouse Loop",7.8,1473,"Loop",144,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|dogfriendly|kidfriendly|birding|hiking|naturetrips|paddlesports|roadbiking|scenicdriving|trailrunning|walking|beach|views|wildflowers|wildlife","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Nortonville and Black Diamond Loop",5.7,1374,"Loop",23,"HARD|HARD|HARD|HARD|Loop|Loop|Loop|dogfriendly|birding|hiking|horsebackriding|mountainbiking|trailrunning|cave|views|wildlife|historicsite","HARD|HARD|HARD|HARD",4.5
"Boy Scout Trail",4.8,875,"Out & Back",244,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|kidfriendly|birding|hiking|naturetrips|trailrunning|walking|forest|views|waterfall|wildflowers|wildlife|oldgrowth|nodogs","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Glen Alpine Trail",5.1,692,"Out & Back",143,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|dogsonleash|kidfriendly|hiking|walking|forest|lake|views|waterfall|wildlife|rocky","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Baltimore Canyon Via Dawn Falls Trail Loop",4.4,629,"Loop",245,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|dogsonleash|kidfriendly|birding|hiking|naturetrips|trailrunning|forest|river|views|waterfall","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Calaveras Ridge Regional Trail",4.8,879,"Out & Back",60,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|dogfriendly|hiking|trailrunning|walking|views|wildflowers|wildlife","MODERATE|MODERATE|MODERATE|MODERATE",4
"Golden Eagle Trail to View Point",2.3,311,"Out & Back",31,"EASY|EASY|EASY|EASY|Out&Back|Out&Back|Out&Back|birding|hiking|naturetrips|walking|views|wildflowers","EASY|EASY|EASY|EASY",4.5
"Bayview Trail",4.9,337,"Loop",250,"EASY|EASY|EASY|EASY|Loop|Loop|Loop|dogfriendly|wheelchairfriendly|kidfriendly|birding|hiking|mountainbiking|naturetrips|roadbiking|trailrunning|walking|beach|forest|views|wildflowers|wildlife","EASY|EASY|EASY|EASY",4.5
"Parker Mesa Overlook Trail",6.5,1125,"Out & Back",176,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|kidfriendly|birding|hiking|mountainbiking|naturetrips|trailrunning|walking|views|wildflowers|wildlife|nodogs","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Bolsa Chica Ecological Reserve Trail",4.4,88,"Loop",260,"EASY|EASY|EASY|EASY|Loop|Loop|Loop|wheelchairfriendly|kidfriendly|birding|hiking|naturetrips|trailrunning|walking|beach|views|wildflowers|wildlife|nodogs","EASY|EASY|EASY|EASY",4
"Edgewood Trail Loop",3.1,590,"Loop",239,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|kidfriendly|birding|hiking|naturetrips|trailrunning|walking|views|wildflowers|wildlife|nodogs","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"El Moro Canyon Short Loop Trail",2.9,479,"Loop",183,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|kidfriendly|birding|hiking|horsebackriding|mountainbiking|naturetrips|trailrunning|walking|beach|forest|river|views|wildflowers|wildlife|nodogs","MODERATE|MODERATE|MODERATE|MODERATE",4
"Ho Chi Minh Trail",0.6,246,"Out & Back",224,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|birding|hiking|naturetrips|rockclimbing|walking|beach|views|wildflowers|wildlife|rocky|scramble|washedout|nodogs","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Grays Peak Trail",6.4,1174,"Out & Back",206,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|dogsonleash|birding|camping|hiking|mountainbiking|naturetrips|trailrunning|walking|forest|lake|views|wildflowers|wildlife|bugs|rocky|scramble","MODERATE|MODERATE|MODERATE|MODERATE",4.5
" Upper Newport Bay Ecological Reserve Loop",5.2,226,"Loop",216,"EASY|EASY|EASY|EASY|Loop|Loop|Loop|dogsonleash|kidfriendly|birding|hiking|horsebackriding|mountainbiking|roadbiking|trailrunning|walking|beach|river|views|wildflowers|wildlife","EASY|EASY|EASY|EASY",4
"East Shore, Indian Cove, McGregor and Ten Hills Trail Loop",3.8,413,"Loop",53,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|dogsonleash|birding|hiking|naturetrips|trailrunning|walking|lake|views","MODERATE|MODERATE|MODERATE|MODERATE",4
"Mount Diablo North Peak Trail",6.5,1912,"Out & Back",127,"HARD|HARD|HARD|HARD|Out&Back|Out&Back|Out&Back|birding|camping|hiking|horsebackriding|mountainbiking|naturetrips|roadbiking|rockclimbing|scenicdriving|trailrunning|walking|forest|views|wildflowers|nodogs","HARD|HARD|HARD|HARD",4.5
"Clouds Rest Trail from Yosemite Valley",18,6302,"Out & Back",95,"HARD|HARD|HARD|HARD|Out&Back|Out&Back|Out&Back|birding|camping|hiking|naturetrips|trailrunning|walking|forest|views|wildflowers|wildlife|bugs|nodogs","HARD|HARD|HARD|HARD",5
"Independence Trail West",4.9,429,"Out & Back",180,"EASY|EASY|EASY|EASY|Out&Back|Out&Back|Out&Back|dogsonleash|wheelchairfriendly|kidfriendly|hiking|naturetrips|walking|forest|river|views|waterfall|wildlife|bugs","EASY|EASY|EASY|EASY",4.5
"Trail of 100 Giants",1.3,121,"Loop",154,"EASY|EASY|EASY|EASY|Loop|Loop|Loop|dogfriendly|kidfriendly|hiking|mountainbiking|walking","EASY|EASY|EASY|EASY",4.5
"Sunset Peak Trail",7.3,1272,"Out & Back",186,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|dogfriendly|birding|hiking|mountainbiking|naturetrips|trailrunning|walking|views|wildflowers|wildlife|bugs|rocky","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"General Grant Loop Trail",0.5,29,"Loop",182,"EASY|EASY|EASY|EASY|Loop|Loop|Loop|kidfriendly|birding|hiking|naturetrips|walking|forest|river|views|wildflowers|wildlife|nodogs","EASY|EASY|EASY|EASY",4.5
"China Clipper Spur and Cordgrass Jetty Trail",2.2,6,"Out & Back",8,"EASY|EASY|EASY|EASY|Out&Back|Out&Back|Out&Back|birding|hiking|naturetrips|walking|views|wildflowers","EASY|EASY|EASY|EASY",4.5
"Canyon View Trail to Little Yosemite",4.8,524,"Loop",189,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|dogsonleash|kidfriendly|birding|hiking|horsebackriding|naturetrips|trailrunning|walking|cave|river|views|wildflowers|wildlife|scramble","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"North Dome Trail via Tioga Road",9.1,1742,"Out & Back",112,"HARD|HARD|HARD|HARD|Out&Back|Out&Back|Out&Back|backpacking|birding|camping|hiking|naturetrips|walking|forest|views|wildflowers|wildlife|nodogs","HARD|HARD|HARD|HARD",5
"Cerro Alto Trail Loop",4.5,1607,"Loop",187,"HARD|HARD|HARD|HARD|Loop|Loop|Loop|dogsonleash|birding|camping|hiking|horsebackriding|mountainbiking|trailrunning|walking|forest|river|views|wildflowers|wildlife","HARD|HARD|HARD|HARD",4.5
"Indian Joe Nature, Indian Joe Creek, Cave Rocks Road, High Valley Road, Flag Hill Road, Flag Hill Trails",4.2,1043,"Loop",23,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|birding|hiking|naturetrips|walking|views|wildflowers","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Porter Ranch Trails",3.7,423,"Out & Back",260,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|dogsonleash|kidfriendly|birding|hiking|horsebackriding|mountainbiking|naturetrips|trailrunning|walking|views|wildflowers|wildlife","MODERATE|MODERATE|MODERATE|MODERATE",4
"Limekiln Creek Falls Trail",1.6,400,"Out & Back",106,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|kidfriendly|birding|hiking|naturetrips|trailrunning|walking|forest|river|views|waterfall|wildflowers|wildlife|historicsite|nodogs","MODERATE|MODERATE|MODERATE|MODERATE",5
"Thousand Island Lake",14.3,3881,"Out & Back",38,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|dogfriendly|backpacking|birding|camping|hiking|naturetrips|walking|lake|river|views|waterfall|wildflowers|wildlife","MODERATE|MODERATE|MODERATE|MODERATE",5
"Mount Umunhum",7.7,1187,"Out & Back",210,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|hiking|mountainbiking|roadbiking|trailrunning|views|wildlife|historicsite|nodogs","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Baldy Bowl Trail to Mount San Antonio",8.8,3923,"Out & Back",188,"HARD|HARD|HARD|HARD|Out&Back|Out&Back|Out&Back|dogsonleash|backpacking|hiking|naturetrips|trailrunning|walking|forest|views|waterfall|wildflowers|rocky|washedout","HARD|HARD|HARD|HARD",4.5
"Waterman Mountain Loop Trail",6,1456,"Loop",177,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|dogsonleash|birding|hiking|mountainbiking|naturetrips|snowshoeing|trailrunning|walking|forest|views|wildflowers|wildlife|bugs","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Deer Canyon Loop Trail",6.9,1289,"Loop",167,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|birding|hiking|mountainbiking|naturetrips|trailrunning|walking|views|wildflowers|wildlife|nodogs","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Poop Out Trail",4.9,1502,"Loop",204,"HARD|HARD|HARD|HARD|Loop|Loop|Loop|dogfriendly|birding|hiking|naturetrips|trailrunning|walking|views|wildflowers|wildlife|rocky","HARD|HARD|HARD|HARD",4.5
"Kearsarge Pass Trail to Kearsarge Lakes",11,3474,"Out & Back",120,"HARD|HARD|HARD|HARD|Out&Back|Out&Back|Out&Back|dogfriendly|backpacking|birding|hiking|naturetrips|trailrunning|walking|forest|lake|views|wildflowers|snow","HARD|HARD|HARD|HARD",5
"Chiquito Trail to Chiquito Falls",9.1,1571,"Loop",213,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|dogsonleash|backpacking|birding|hiking|horsebackriding|mountainbiking|naturetrips|trailrunning|walking|forest|river|views|waterfall|wildflowers|wildlife|bugs|rocky","MODERATE|MODERATE|MODERATE|MODERATE",4
"Muir Beach to Rodeo Beach",11.3,3438,"Out & Back",118,"HARD|HARD|HARD|HARD|Out&Back|Out&Back|Out&Back|birding|hiking|mountainbiking|naturetrips|surfing|trailrunning|walking|beach|views|nodogs","HARD|HARD|HARD|HARD",4.5
"Alta Peak Trail",12.6,3914,"Out & Back",136,"HARD|HARD|HARD|HARD|Out&Back|Out&Back|Out&Back|birding|crosscountryskiing|hiking|naturetrips|snowshoeing|trailrunning|walking|forest|views|wildflowers|wildlife|snow|nodogs","HARD|HARD|HARD|HARD",4.5
